text,intent,augmented,label_encoded
"pardon me, repeat please please",Repeat_question,True,31
which engineering branches are available? please,Course_list,True,12
do you provide internships?,Internship_opportunities,True,27
how can i get admission?,Admission_process,False,3
"i missed that, please repeat please",Repeat_question,True,31
how can i give feedback?,Feedback_and_suggestions,False,24
do you allow direct admission?,Direct_admission,False,16
information on who are the faculty members in civil department?,Faculty_info,True,22
how can i available academic programs?,Course_list,True,12
who is eligible for scholarship?,Scholarship_criteria,True,33
timing?,Clarification_needed,True,8
details about which city is the college in?,College_location,True,9
tell me about whats the exact address of the college?,College_location,True,9
tell me about tell me the civil department fee structure,Department_fee_query,True,13
could you how far is the college from the city?,Nearby_locations,True,28
could you required qualifications?,Eligibility_criteria,True,18
what percentage of students get placed? please,Placement_info,True,30
something completely different,Unknown_query,True,37
information on scholarship options for civil department?,Department_scholarship_query,True,15
what subjects can i study here?,Course_list,True,12
do i need to have studied specific subjects?,Eligibility_criteria,False,18
how can i final exam schedule?,Exam_schedule,True,20
information on who are the faculty members in civil department?,Faculty_info,True,22
how can i is there a debate society?,Extracurricular_activities,True,21
where can i find your campus?,College_location,False,9
which departments offer the most scholarships?,Department_scholarship_query,False,15
what about what should i submit with the application?,Document_required,True,17
details about can alumni help with career guidance?,Alumni_network,True,4
what about music and dance clubs?,Extracurricular_activities,False,21
scholarship options for civil department?,Department_scholarship_query,False,15
how can i get a scholarship?,Scholarship_criteria,True,33
i want to know something else,Unknown_query,False,37
which top companies recruit from here?,Placement_info,False,30
what about is the syllabus updated regularly?,Syllabus_query,True,35
i need to what clubs are available?,Extracurricular_activities,True,21
i need to can i talk to alumni?,Alumni_network,True,4
college distance from bus stop?,Nearby_locations,False,28
tell me how to enroll,Admission_process,False,3
could you where can i find the course syllabus?,Syllabus_query,True,35
thats not what i meant please,Unknown_query,True,37
details?,Clarification_needed,False,8
information on list all available courses,Course_list,True,12
what is the placement record? please,Placement_info,True,30
on what basis is scholarship given?,Scholarship_criteria,False,33
what about what subjects are covered in the exam?,Entrance_exam_info,True,19
academic session schedule?,Academic_calendar,False,0
i need to what should i submit with the application?,Document_required,True,17
is hostel fee refundable?,Hostel_fee,True,25
details about whats the college website?,Contact_information,True,11
do you provide internships?,Internship_opportunities,False,27
subjects covered in civil engineering?,Syllabus_query,True,35
